Symbol,TransactionType,CompanyName,Exchange,Quantity,FXRate,Currency,SecurityType,Price,Amount,CreateDate
GDS,Market - Sell,GDS Holdings Limited - ADR,US,-573,1,USD,Equities,$25.01 ,"$14,330.73 ",01/13/2023 - 15:20
NVCN,Market - Sell,Neovasc Inc,US,-1150,1,USD,Equities,$20.70 ,"$23,805.00 ",01/13/2023 - 15:17
PNC,Dividends,PNC Financial Services Group,US,-141,1,USD,Equities,$1.50 ,($211.50),01/13/2023 - 00:00
NWFL,Dividends,Norwood Financial Corp.,US,740,1,USD,Equities,$0.29 ,$214.60 ,01/12/2023 - 00:00
TD,Dividends,Toronto Dominion Bank,US,-345,1,USD,Equities,$0.71 ,($244.71),01/05/2023 - 00:00
JPM,Dividends,JPMorgan Chase & Co.,US,-170,1,USD,Equities,$1.00 ,($170.00),01/05/2023 - 00:00
BNS,Dividends,Bank Of Nova Scotia,US,-457,1,USD,Equities,$0.75 ,($344.58),01/03/2023 - 00:00
ROOT,Market - Sell,Root Inc - Ordinary Shares - Class A,US,-2950,1,USD,Equities,$4.58 ,"$13,511.00 ",12/23/2022 - 15:51
PRTG,Market - Sell,Portage Biotech Inc,US,-3200,1,USD,Equities,$4.65 ,"$14,880.00 ",12/23/2022 - 15:51
BSVN,Dividends,Bank7 Corp,US,865,1,USD,Equities,$0.16 ,$138.40 ,12/22/2022 - 00:00
FARM,Market - Sell,Farmer Bros. Co.,US,-3750,1,USD,Equities,$4.91 ,"$18,412.50 ",12/16/2022 - 14:08
HBAN,Dividends,"Huntington Bancshares, Inc.",US,-1437,1,USD,Equities,$0.16 ,($222.74),12/16/2022 - 00:00
PFSW,Dividends,PFSWEB Inc,US,2210,1,USD,Equities,$4.50 ,"$9,945.00 ",12/16/2022 - 00:00
ICE,Dividends,Intercontinental Exchange Inc,US,-240,1,USD,Equities,$0.38 ,($91.20),12/14/2022 - 00:00
AIG,Dividends,American International Group Inc,US,-381,1,USD,Equities,$0.32 ,($121.92),12/14/2022 - 00:00
QFIN,Dividends,360 DigiTech Inc - ADR,US,1800,1,USD,Equities,$0.16 ,$288.00 ,12/09/2022 - 00:00
FIS,Dividends,"Fidelity National Information Services, Inc.",US,-370,1,USD,Equities,$0.47 ,($173.90),12/08/2022 - 00:00
CME,Dividends,CME Group Inc - Ordinary Shares - Class A,US,-125,1,USD,Equities,$1.00 ,($125.00),12/08/2022 - 00:00
PEG,Dividends,Public Service Enterprise Group Inc.,US,-385,1,USD,Equities,$0.54 ,($207.90),12/08/2022 - 00:00
RLMD,Market - Sell,Relmada Therapeutics Inc,US,-3485,1,USD,Equities,$4.54 ,"$15,821.90 ",12/02/2022 - 14:57
D,Dividends,Dominion Energy Inc,US,-335,1,USD,Equities,$0.67 ,($223.61),12/01/2022 - 00:00
GM,Dividends,General Motors Company,US,-577,1,USD,Equities,$0.09 ,($51.93),12/01/2022 - 00:00
BAC,Dividends,Bank Of America Corp.,US,-605,1,USD,Equities,$0.22 ,($133.10),12/01/2022 - 00:00
GS,Dividends,"Goldman Sachs Group, Inc.",US,-62,1,USD,Equities,$2.50 ,($155.00),11/30/2022 - 00:00
MTB,Dividends,M & T Bank Corp,US,-133,1,USD,Equities,$1.20 ,($159.60),11/30/2022 - 00:00
GRNT,Dividends,Granite Ridge Resources Inc - Ordinary Shares - Class A,US,2500,1,USD,Equities,$0.08 ,$200.00 ,11/30/2022 - 00:00
BAM,Dividends,Brookfield Asset Management Inc. - Ordinary Shares - Class A,US,-550,1,USD,Equities,$0.14 ,($77.00),11/29/2022 - 00:00
NEE,Dividends,NextEra Energy Inc,US,-281,1,USD,Equities,$0.43 ,($119.43),11/23/2022 - 00:00
KPRX,Market - Sell,Kiora Pharmaceuticals Inc,US,-3590,1,USD,Equities,$3.90 ,"$14,001.00 ",11/18/2022 - 12:56
SO,Dividends,Southern Company,US,-341,1,USD,Equities,$0.68 ,($231.88),11/18/2022 - 00:00
OWL,Dividends,Blue Owl Capital Inc - Ordinary Shares - Class A,US,-2200,1,USD,Equities,$0.12 ,($264.00),11/18/2022 - 00:00
COHN,Dividends,Cohen & Company Inc,US,2280,1,USD,Equities,$0.25 ,$570.00 ,11/17/2022 - 00:00
DUK,Dividends,Duke Energy Corp.,US,-240,1,USD,Equities,$1.01 ,($241.20),11/17/2022 - 00:00
RTX,Dividends,Raytheon Technologies Corporation,US,-235,1,USD,Equities,$0.55 ,($129.25),11/17/2022 - 00:00
WELL,Dividends,Welltower Inc,US,-365,1,USD,Equities,$0.61 ,($222.65),11/17/2022 - 00:00
VLO,Dividends,Valero Energy Corp.,US,-172,1,USD,Equities,$0.98 ,($168.56),11/16/2022 - 00:00
AFL,Dividends,Aflac Inc.,US,-335,1,USD,Equities,$0.40 ,($134.00),11/15/2022 - 00:00
F,Dividends,Ford Motor Co.,US,1660,1,USD,Equities,$0.15 ,$249.00 ,11/14/2022 - 00:00
EXC,Dividends,Exelon Corp.,US,-600,1,USD,Equities,$0.34 ,($202.50),11/14/2022 - 00:00
